Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
"2052,09826543384",Camion.34993,TransferNode58,1412.OnExited,[Begin],Process 'TransferNode58.OnExited' started.
"2052,09826543384",Camion.34993,TransferNode58,1412.OnExited,[Fire] ExitedEvent,Firing event 'TransferNode58.Exited'.
"2052,09826543384",Camion.34993,TransferNode58,1412.OnExited,[End],Process 'TransferNode58.OnExited' ended.
"2052,09849594921",Camion.34969,PaperNo4,1412.OnExited,[Begin],Process 'PaperNo4.OnExited' started.
"2052,09849594921",Camion.34969,PaperNo4,1412.OnExited,[Fire] ExitedEvent,Firing event 'PaperNo4.Exited'.
"2052,09849594921",Camion.34969,PaperNo4,1412.OnExited,[End],Process 'PaperNo4.OnExited' ended.
"2052,09891194964",Camion.34989,TransferNode158_1,1412.OnExited,[Begin],Process 'TransferNode158_1.OnExited' started.
"2052,09891194964",Camion.34989,TransferNode158_1,1412.OnExited,[Fire] ExitedEvent,Firing event 'TransferNode158_1.Exited'.
"2052,09891194964",Camion.34989,TransferNode158_1,1412.OnExited,[End],Process 'TransferNode158_1.OnExited' ended.
"2052,09918444175",Camion.34979,TransferNode133,1412.OnExited,[Begin],Process 'TransferNode133.OnExited' started.
"2052,09918444175",Camion.34979,TransferNode133,1412.OnExited,[Fire] ExitedEvent,Firing event 'TransferNode133.Exited'.
"2052,09918444175",Camion.34979,TransferNode133,1412.OnExited,[End],Process 'TransferNode133.OnExited' ended.
"2052,10031169504",Camion.34981,BrightN5_1,1412.OnReachedEnd,[Begin],Process 'BrightN5_1.OnReachedEnd' started.
"2052,10031169504",Camion.34981,BrightN5_1,1412.OnReachedEnd,[Transfer] FromPath,Entity 'Camion.34981' initiating transfer from '[EndOfLink] BrightN5_1' into node 'PaperNo5'.
"2052,10031169504",Camion.34981,PaperNo5,454.OnEntered,[Begin],Process 'PaperNo5.OnEntered' started.
"2052,10031169504",Camion.34981,PaperNo5,454.OnEntered,[Fire] EnteredEvent,Firing event 'PaperNo5.Entered'.
"2052,10031169504",Camion.34981,PaperNo5,454.OnEntered,[Execute] Entered_AddOnProcess,Executing process 'VerificarSiDescargaPaper'.
"2052,10031169504",Camion.34981,Model,1689.VerificarSiDescargaPaper,[Begin],Process 'VerificarSiDescargaPaper' started.
"2052,10031169504",Camion.34981,Model,1689.VerificarSiDescargaPaper,[Decide] Decide1,Token branching on condition 'SequenceTable3[k].Sequence == TransferNode'.
"2052,10031169504",Camion.34981,Model,1689.VerificarSiDescargaPaper,[Decide] Decide1,Token sent to 'False' exit.
"2052,10031169504",Camion.34981,Model,1689.VerificarSiDescargaPaper,[End],Process 'VerificarSiDescargaPaper' ended.
"2052,10031169504",Camion.34981,PaperNo5,454.OnEntered,[Transfer] ToOutboundLink,Entity 'Camion.34981' initiating transfer from '[Node] PaperNo5' onto link 'BrightN4_1'.
"2052,10031169504",Camion.34981,BrightN4_1,1689.OnEntered,[Begin],Process 'BrightN4_1.OnEntered' started.
"2052,10031169504",Camion.34981,BrightN4_1,1689.OnEntered,[EndTransfer] OntoPath,Entity 'Camion.34981' ending transfer onto link 'BrightN4_1'.
"2052,10031169504",Camion.34981,BrightN4_1,1689.OnEntered,[End],Process 'BrightN4_1.OnEntered' ended.
"2052,10031169504",Camion.34981,BrightN5_1,1412.OnReachedEnd,[End],Process 'BrightN5_1.OnReachedEnd' ended.
"2052,10031169504",Camion.34981,PaperNo5,454.OnEntered,[End],Process 'PaperNo5.OnEntered' ended.
"2052,10087428508",Camion.34915,TransferNode154,454.OnExited,[Begin],Process 'TransferNode154.OnExited' started.
"2052,10087428508",Camion.34915,TransferNode154,454.OnExited,[Fire] ExitedEvent,Firing event 'TransferNode154.Exited'.
"2052,10087428508",Camion.34915,TransferNode154,454.OnExited,[Execute] Exited_AddOnProcess,Executing process 'CambiarVelocidad55'.
