Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,Object 'GruaBright[1]' created.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Begin],Process 'GruaBright[1].OnCreated' started.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] ToEnableFailures,Assigning state variable 'GruaBright[1].CalendarTimeBasedFailures.Enabled' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[1].CalendarTimeBasedFailures.Event' as a triggering event for process 'GruaBright[1].FailureOccurrenceLogic'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[1].EventCountBasedFailures.Event' as a triggering event for process 'GruaBright[1].FailureOccurrenceLogic'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingRiderReservation.Enabled' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingSeizeRequest.Enabled' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[Assign] HomeNode,Assigning state variable 'GruaBright[1].HomeNode' the value 'BrightHome'.
0,GruaBright[1],GruaBright[1],0.OnCreated,[End],Process 'GruaBright[1].OnCreated' ended.
0,--,--,--,--,Object 'GruaBright[2]' created.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Begin],Process 'GruaBright[2].OnCreated' started.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] ToEnableFailures,Assigning state variable 'GruaBright[2].CalendarTimeBasedFailures.Enabled' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[2].CalendarTimeBasedFailures.Event' as a triggering event for process 'GruaBright[2].FailureOccurrenceLogic'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[2].EventCountBasedFailures.Event' as a triggering event for process 'GruaBright[2].FailureOccurrenceLogic'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingRiderReservation.Enabled' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingRiderReservation.ReturnValue' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingSeizeRequest.Enabled' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingSeizeRequest.ReturnValue' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingRiderAtPickup.Enabled' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[2].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[Assign] HomeNode,Assigning state variable 'GruaBright[2].HomeNode' the value 'BrightHome'.
0,GruaBright[2],GruaBright[2],0.OnCreated,[End],Process 'GruaBright[2].OnCreated' ended.
0,--,--,--,--,Object 'GruaBright[3]' created.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Begin],Process 'GruaBright[3].OnCreated' started.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Assign] ToEnableFailures,Assigning state variable 'GruaBright[3].CalendarTimeBasedFailures.Enabled' the value '1'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[3].CalendarTimeBasedFailures.Event' as a triggering event for process 'GruaBright[3].FailureOccurrenceLogic'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Subscribe] ToFailureEvents,Adding event 'GruaBright[3].EventCountBasedFailures.Event' as a triggering event for process 'GruaBright[3].FailureOccurrenceLogic'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[3].OnEvaluatingRiderReservation.Enabled' the value '1'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[3].OnEvaluatingRiderReservation.ReturnValue' the value '1'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[3].OnEvaluatingSeizeRequest.Enabled' the value '1'.
0,GruaBright[3],GruaBright[3],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'GruaBright[3].OnEvaluatingSeizeRequest.ReturnValue' the value '1'.
